제목,링크,소관부처_지자체,pblanc_id,벡터스토어 저장
[세종] 2025년 3차 중소기업 제조물배상책임(PL)보험 지원사업 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113380,세종특별자치시,PBLN_000000000113380,True
[경남] 창원시 2025년 하반기 소상공인 육성자금 지원 계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113398,경상남도,PBLN_000000000113398,True
2025년 녹색자산유동화증권 이차보전 지원사업 (기보2차) 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113389,환경부,PBLN_000000000113389,True
[전북] 익산시 2025년 하반기 희망더드림 특례보증 대출지원사업 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113381,전북특별자치도,PBLN_000000000113381,True
[충남] 당진시 당진화력발전소주변지역 주민복지 및 기업유치 융자지원사업 신청접수 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113336,충청남도,PBLN_000000000113336,True
[인천] 2025년 일자리 창출 특례보증 시행 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113352,인천광역시,PBLN_000000000113352,True
[인천] 2025년 상권 활성화 특례보증 시행 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113350,인천광역시,PBLN_000000000113350,True
[인천] 2025년 5차 하반기 중소기업육성자금 지원 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113287,인천광역시,PBLN_000000000113287,True
[강원] 속초시 2025년 소상공인 특례보증 지원 계획 변경 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113274,강원특별자치도,PBLN_000000000113274,True
[강원] 동해시 2025년 식품위생업소 시설개선 융자사업 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113282,강원특별자치도,PBLN_000000000113282,True
[강원] 2025년 2차 관광사업체 경영안정자금 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113257,강원특별자치도,PBLN_000000000113257,True
[경기] 하남시 기업 투자유치 보조금 지원 대상기업 모집 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113261,경기도,PBLN_000000000113261,True
